Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,4,2,3
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,4,2,3
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,3,0,1
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,2,3,3
Santíssima Gula,https://maps.app.goo.gl/PEYMfC8fjpEMxBpx7,06:30,20:30,4,3,3
Café Cultura,https://maps.app.goo.gl/X2CDU7BdA6JwdUWJ8,08:00,19:30,4,4,3
Assim Assado UFSC,https://maps.app.goo.gl/mZNs57ELQbxXpCsbA,07:00,20:30,3,3,3
